zip_code,week_number,date_week_start,date_week_end,cases_weekly,cases_cumulative,tests_weekly,tests_cumulative,deaths_weekly,deaths_cumulative
60623,14,03/29/2020,04/04/2020,83.0,132.0,208,434,5,8
60637,14,03/29/2020,04/04/2020,56.0,103.0,171,474,2,2
60604,18,04/26/2020,05/02/2020,3.0,9.0,14,39,0,0
60601,13,03/22/2020,03/28/2020,9.0,20.0,37,76,0,0
60655,19,05/03/2020,05/09/2020,17.0,194.0,199,1356,0,6
60616,18,04/26/2020,05/02/2020,45.0,264.0,241,1161,2,28
60634,19,05/03/2020,05/09/2020,186.0,898.0,781,3938,4,26
60647,19,05/03/2020,05/09/2020,183.0,803.0,669,2879,15,45
60610,10,03/01/2020,03/07/2020,,,4,4,0,0
60657,14,03/29/2020,04/04/2020,43.0,105.0,161,501,0,0
60661,13,03/22/2020,03/28/2020,7.0,8.0,30,52,0,0
60611,14,03/29/2020,04/04/2020,18.0,55.0,74,295,0,0
60632,13,03/22/2020,03/28/2020,16.0,21.0,114,183,1,1
60633,15,04/05/2020,04/11/2020,6.0,12.0,14,66,0,0
60617,19,05/03/2020,05/09/2020,131.0,701.0,721,3233,8,36
60653,13,03/22/2020,03/28/2020,32.0,49.0,122,210,0,1
60643,19,05/03/2020,05/09/2020,44.0,566.0,358,2613,5,38
60614,13,03/22/2020,03/28/2020,28.0,52.0,142,302,0,1
60654,19,05/03/2020,05/09/2020,5.0,115.0,93,513,0,0
60707,10,03/01/2020,03/07/2020,,,1,1,0,0
60617,12,03/15/2020,03/21/2020,14.0,15.0,125,136,0,0
60601,19,05/03/2020,05/09/2020,6.0,61.0,66,334,1,4
60640,13,03/22/2020,03/28/2020,25.0,40.0,117,232,2,2
60604,12,03/15/2020,03/21/2020,,,0,0,0,0
60608,15,04/05/2020,04/11/2020,123.0,279.0,323,814,3,4
60660,11,03/08/2020,03/14/2020,,,12,12,0,0
60625,19,05/03/2020,05/09/2020,196.0,890.0,586,2839,16,56
60639,19,05/03/2020,05/09/2020,541.0,2026.0,1406,5094,17,61
60630,16,04/12/2020,04/18/2020,54.0,181.0,292,928,4,10
60613,19,05/03/2020,05/09/2020,59.0,300.0,231,1302,7,19
60620,18,04/26/2020,05/02/2020,84.0,735.0,519,2606,6,51
60626,13,03/22/2020,03/28/2020,22.0,34.0,129,224,0,0
60642,18,04/26/2020,05/02/2020,31.0,93.0,111,475,0,1
60605,12,03/15/2020,03/21/2020,14.0,15.0,83,101,0,0
60629,18,04/26/2020,05/02/2020,510.0,1430.0,1329,3484,7,30
60607,11,03/08/2020,03/14/2020,,,11,11,0,0
60623,18,04/26/2020,05/02/2020,628.0,1529.0,1332,3399,16,52
60602,17,04/19/2020,04/25/2020,2.0,5.0,14,37,0,0
60619,17,04/19/2020,04/25/2020,116.0,532.0,527,1738,6,31
60645,12,03/15/2020,03/21/2020,19.0,19.0,77,81,0,0
60646,18,04/26/2020,05/02/2020,108.0,213.0,211,1092,4,9
60614,20,05/10/2020,05/16/2020,33.0,428.0,438,2392,5,51
60616,13,03/22/2020,03/28/2020,22.0,32.0,139,228,1,2
60657,18,04/26/2020,05/02/2020,30.0,221.0,254,1301,5,15
60642,13,03/22/2020,03/28/2020,7.0,10.0,65,104,0,0
60630,12,03/15/2020,03/21/2020,6.0,6.0,42,48,1,1
60636,12,03/15/2020,03/21/2020,9.0,9.0,52,58,1,1
60661,17,04/19/2020,04/25/2020,2.0,22.0,28,129,0,0
60619,12,03/15/2020,03/21/2020,26.0,27.0,117,130,0,0
